time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-30 00:00:00+00:00,16,7,0,0
2026-01-31 00:00:00+00:00,17,4,0,0
2026-02-01 00:00:00+00:00,16,7,0,0
2026-02-02 00:00:00+00:00,20,7,1,1
2026-02-03 00:00:00+00:00,20,7,0,0
2026-02-04 00:00:00+00:00,21,8,1,1
2026-02-05 00:00:00+00:00,8,3,1,1
2026-02-06 00:00:00+00:00,16,7,1,1
2026-02-07 00:00:00+00:00,22,9,0,0
2026-02-08 00:00:00+00:00,9,5,0,0
2026-02-09 00:00:00+00:00,20,7,5,2
2026-02-10 00:00:00+00:00,13,4,3,2
2026-02-11 00:00:00+00:00,21,8,0,0
2026-02-12 00:00:00+00:00,24,11,0,0
