time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,21,7,0,0
2026-04-10 00:00:00+00:00,18,8,0,0
2026-04-11 00:00:00+00:00,14,9,0,0
2026-04-12 00:00:00+00:00,24,9,1,1
2026-04-13 00:00:00+00:00,32,10,1,1
2026-04-14 00:00:00+00:00,33,7,1,1
2026-04-15 00:00:00+00:00,21,8,0,0
2026-04-16 00:00:00+00:00,32,8,0,0
2026-04-17 00:00:00+00:00,22,6,0,0
2026-04-18 00:00:00+00:00,24,10,0,0
2026-04-19 00:00:00+00:00,37,12,0,0
2026-04-20 00:00:00+00:00,49,19,0,0
2026-04-21 00:00:00+00:00,52,23,0,0
2026-04-22 00:00:00+00:00,96,32,0,0
