time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,20,6,0,0
2026-06-04 00:00:00+00:00,17,8,0,0
2026-06-05 00:00:00+00:00,16,6,2,1
2026-06-06 00:00:00+00:00,21,7,0,0
2026-06-07 00:00:00+00:00,46,15,0,0
2026-06-08 00:00:00+00:00,19,9,0,0
2026-06-09 00:00:00+00:00,17,7,1,1
2026-06-10 00:00:00+00:00,19,7,0,0
2026-06-11 00:00:00+00:00,34,11,0,0
2026-06-12 00:00:00+00:00,20,6,0,0
2026-06-13 00:00:00+00:00,24,7,0,0
2026-06-14 00:00:00+00:00,47,12,1,1
2026-06-15 00:00:00+00:00,29,8,0,0
2026-06-16 00:00:00+00:00,31,8,0,0
