time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,48,11,0,0
2026-04-30 00:00:00+00:00,31,9,1,1
2026-05-01 00:00:00+00:00,33,8,0,0
2026-05-02 00:00:00+00:00,39,11,0,0
2026-05-03 00:00:00+00:00,19,9,0,0
2026-05-04 00:00:00+00:00,14,4,1,1
2026-05-05 00:00:00+00:00,49,13,0,0
2026-05-06 00:00:00+00:00,15,6,0,0
2026-05-07 00:00:00+00:00,31,9,0,0
2026-05-08 00:00:00+00:00,23,9,1,1
2026-05-09 00:00:00+00:00,28,10,1,1
2026-05-10 00:00:00+00:00,1,1,0,0
2026-05-11 00:00:00+00:00,27,9,0,0
2026-05-12 00:00:00+00:00,8,8,0,0
