time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,59,23,0,0
2026-04-26 00:00:00+00:00,24,7,0,0
2026-04-27 00:00:00+00:00,4,4,0,0
2026-04-28 00:00:00+00:00,16,6,0,0
2026-04-29 00:00:00+00:00,48,11,0,0
2026-04-30 00:00:00+00:00,31,9,1,1
2026-05-01 00:00:00+00:00,33,8,0,0
2026-05-02 00:00:00+00:00,39,11,0,0
2026-05-03 00:00:00+00:00,19,9,0,0
2026-05-04 00:00:00+00:00,14,4,1,1
2026-05-05 00:00:00+00:00,49,13,0,0
2026-05-06 00:00:00+00:00,15,6,0,0
2026-05-07 00:00:00+00:00,31,9,0,0
2026-05-08 00:00:00+00:00,23,9,1,1
